"crops","nitrogen","phosphorus","potassium","ph","temperature","annual_rainfall","season","soil_type"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",175,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",175,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",175,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",175,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",300,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",300,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",300,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",300,"kharif","clay"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",175,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",175,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",175,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",175,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",300,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",300,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",300,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",300,"kharif","clay loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",175,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",175,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",175,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",175,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",300,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",300,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",300,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",300,"kharif","red yellow"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",175,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",175,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",175,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",175,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"20 - 25",300,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"20 - 25",300,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",5.5,"25 - 30",300,"kharif","red loam"
"rice","70 - 90","30 - 50","30 - 50",6.5,"25 - 30",300,"kharif","red loam"
"wheat","90 - 110","30 - 50","0 - 15",6,"20 - 25",63,"rabi","loam"
"wheat","90 - 110","30 - 50","0 - 15",7,"20 - 25",63,"rabi","loam"
"wheat","90 - 110","30 - 50","0 - 15",6,"20 - 25",87,"rabi","loam"
"wheat","90 - 110","30 - 50","0 - 15",7,"20 - 25",87,"rabi","loam"
"wheat","90 - 110","30 - 50","0 - 15",6,"20 - 25",63,"rabi","clay loam"
"wheat","90 - 110","30 - 50","0 - 15",7,"20 - 25",63,"rabi","clay loam"
"wheat","90 - 110","30 - 50","0 - 15",6,"20 - 25",87,"rabi","clay loam"
"wheat","90 - 110","30 - 50","0 - 15",7,"20 - 25",87,"rabi","clay loam"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",40,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",40,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",40,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",40,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",45,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",45,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",45,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",45,"kharif","loam"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",40,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",40,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",40,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",40,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",45,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",45,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",45,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",45,"kharif","sandy"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",40,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",40,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",40,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",40,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",45,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",45,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",45,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",45,"kharif","clay"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",40,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",40,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",40,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",40,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",6,"25 - 30",45,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"25 - 30",45,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",6,"30 - 35",45,"kharif","alluvial"
"jowar","70 - 90","30 - 50","30 - 50",8.5,"30 - 35",45,"kharif","alluvial"
"barley","60 - 80","30 - 50","35 - 55",6,"10 - 15",39,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",7.5,"10 - 15",39,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",6,"15 - 20",39,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",7.5,"15 - 20",39,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",6,"20 - 25",39,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",7.5,"20 - 25",39,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",6,"10 - 15",43,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",7.5,"10 - 15",43,"rabi","clay"
