"crops","nitrogen","phosphorus","potassium","ph","temperature","rainfall","season","soil_type"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","clay"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","clay_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","red_yellow"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","red_loam"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","red_loam"
"wheat","n_90_110","p_25_45","k_5_15",6,"t_20_25",63,"rabi","loam"
"wheat","n_90_110","p_25_45","k_5_15",7,"t_20_25",63,"rabi","loam"
"wheat","n_90_110","p_25_45","k_5_15",6,"t_20_25",87,"rabi","loam"
"wheat","n_90_110","p_25_45","k_5_15",7,"t_20_25",87,"rabi","loam"
"wheat","n_90_110","p_25_45","k_5_15",6,"t_20_25",63,"rabi","clay_loam"
"wheat","n_90_110","p_25_45","k_5_15",7,"t_20_25",63,"rabi","clay_loam"
"wheat","n_90_110","p_25_45","k_5_15",6,"t_20_25",87,"rabi","clay_loam"
"wheat","n_90_110","p_25_45","k_5_15",7,"t_20_25",87,"rabi","clay_loam"
