"crops","nitrogen","phosphorus","potassium","ph","temperature","rainfall","season","soil_type","category"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","clay","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","clay_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",300,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",300,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",300,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",300,"kharif","red_yellow","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_20_25",175,"kharif","red_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_20_25",175,"kharif","red_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",5.5,"t_25_30",175,"kharif","red_loam","class 11"
"rice","n_60_80","p_25_45","k_35_55",6.5,"t_25_30",175,"kharif","red_loam","class 11"
