attribute,target,lst
nitrogen,n_10_30,n_5_15
nitrogen,n_10_30,n_5_25
nitrogen,n_10_30,n_15_35
nitrogen,n_10_30,n_20_40
nitrogen,n_30_50,n_40_60
nitrogen,n_60_80,n_50_70
nitrogen,n_60_80,n_65_85
nitrogen,n_60_80,n_70_90
nitrogen,n_90_110,n_80_100
nitrogen,n_160_180,n_150_170
nitrogen,n_160_180,n_170_190
phosphorus,p_25_45,p_30_50
phosphorus,p_25_45,p_20_40
phosphorus,p_10_30,p_5_15
phosphorus,p_10_30,p_5_25
phosphorus,p_10_30,p_15_35
phosphorus,p_55_75,p_50_70
phosphorus,p_55_75,p_60_80
phosphorus,p_55_75,p_65_85
potassium,k_5_15,k_0_10
potassium,k_5_15,k_0_15
potassium,k_5_15,k_5_25
potassium,k_15_35,k_10_30
potassium,k_15_35,k_20_40
potassium,k_35_55,k_30_50
potassium,k_35_55,k_40_60
potassium,k_35_55,k_45_65
potassium,k_55_75,k_50_70
potassium,k_55_75,k_60_80
potassium,k_75_95,k_70_90
potassium,k_75_95,k_80_100
